0,1,2,3,4,5,6,7,8,9
486,852,575,532,350,420,810,831,877,985
301,918,635,656,835,954,355,990,912,345
815,455,92,895,700,677,645,993,704,899
665,560,639,900,845,616,642,312,910,785
784,403,714,507,429,626,757,678,151,767
427,576,638,904,832,808,766,632,963,844
593,882,156,437,537,968,732,983,446,367
433,514,959,213,396,467,621,539,316,482
937,816,803,657,806,698,736,531,913,493
688,184,762,761,613,648,454,707,573,984
578,711,666,814,818,563,907,773,748,451
753,302,534,854,517,439,353,802,343,529
222,843,947,641,284,476,658,418,303,662
673,747,606,564,318,782,676,691,473,633
693,244,538,719,443,601,878,459,948,631
902,839,141,609,876,19,257,994,924,562
986,949,457,796,309,508,718,513,468,399
596,923,388,706,791,778,574,201,323,684
737,703,822,611,523,229,333,943,586,294
268,794,661,193,881,713,591,597,921,43
